id;date;details;status;payment_method;payment_date;payment_amount
1;2020-01-28T15:04:42;RAM Focused;PAID;CASH_ON_DELIVERY;2020-01-28T23:26:49;64379
2;2020-01-28T11:54:48;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-01-28T17:05:06;17323
3;2020-01-28T16:22:13;Incredible Baby;CANCELLED;PAYPAL;2020-01-28T19:53:54;11017
4;2020-01-28T13:52:08;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-01-28T13:56:16;51438
5;2020-01-28T08:32:16;function;PAID;PAYPAL;2020-01-29T01:06:21;32278
6;2020-01-28T09:32:04;action-items;CANCELLED;CASH_ON_DELIVERY;2020-01-28T23:19:16;5232
7;2020-01-29T02:18:47;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-01-28T19:56:09;62169
8;2020-01-28T12:13:51;Toys;ISSUED;PAYPAL;2020-01-28T22:51:48;10756
9;2020-01-28T13:44:16;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-01-29T03:27:49;58055
10;2020-01-28T12:22:01;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-01-29T00:48:12;94075
