id;placed_date;status;code
1;2020-01-28T22:28:40;COMPLETED;Georgia calculate withdrawal
2;2020-01-28T09:25:10;COMPLETED;compress Steel out-of-the-box
3;2020-01-28T10:56:22;PENDING;Concrete
4;2020-01-29T00:22:17;CANCELLED;Investment Account
5;2020-01-28T11:39:07;PENDING;United States of America
6;2020-01-29T01:51:11;CANCELLED;IB Industrial Credit Card Account
7;2020-01-29T04:57:36;CANCELLED;Cotton Egyptian Pound
8;2020-01-28T13:53:40;COMPLETED;Home Loan Account
9;2020-01-28T22:47:56;COMPLETED;Human
10;2020-01-28T08:56:34;CANCELLED;payment
